0,1
05-30,0.06553122358676586
05-31,0.09253171805976504
06-01,0.1287136468501468
06-02,0.1986752192459026
06-03,0.2880666868168675
06-04,0.08885000002155333
06-05,0.18805252251752808
06-06,0.2637584807230086
06-08,0.1980332706797126
06-09,0.05534018760089353
06-10,0.2559377020648481
06-11,0.21158880536106195
06-12,0.10310000272006467
06-13,0.10385773815736893
06-15,0.1583323293909101
06-16,0.3429256016768127
06-17,0.1714503813975228
06-18,0.058955017822520536
06-19,0.10628513821673753
06-20,0.20761781097473386
06-22,0.05192515119869695
06-23,0.1224873719559426
06-24,0.08655905673861625
06-25,0.4490896883132983
06-26,0.09063340747390902
