0,1
05-28,0.0
05-29,0.0
05-30,0.0
05-31,0.0
06-01,0.04820345327756388
06-02,0.029790508717490723
06-03,0.06116883642753807
06-04,0.03174427952685363
06-05,0.025238350521808187
06-06,0.01939072894439925
06-08,0.037427238290575066
06-09,0.03167734698424382
06-10,0.0
06-11,0.028901839667156343
06-12,0.0
06-13,0.036523723789557434
06-15,0.014951211026851628
06-16,0.0
06-17,0.03814882715069252
06-18,0.01593949838125
06-19,0.0
06-20,0.020612242967571345
06-22,0.0
06-23,0.01914639249449851
06-24,0.02336170755114504
06-25,0.022632254069679537
06-26,0.013365417897321428
