0,1
06-01,0.02296883292939797
06-02,0.058582984743220025
06-03,0.0647706838346066
06-04,0.022409000103910868
06-05,0.01781631865317044
06-06,0.04334644548416458
06-08,0.037253227004464616
06-09,0.013417050551001723
06-10,0.02243485664249231
06-10,0.0
06-12,0.019944606934550826
06-12,0.0
06-15,0.018470192591677925
06-16,0.09915869074481193
06-17,0.0201975856199723
06-18,0.01687807502039352
06-18,0.0
06-20,0.05965764613075435
06-20,0.0
06-23,0.02027380292419861
06-24,0.037105996991399486
06-25,0.04792984985248973
06-25,0.0
