0,1
05-30,0.08425443032584183
05-31,0.15366874606353834
06-01,0.14821571455471452
06-02,0.14729369702713466
06-03,0.19890318851640848
06-04,0.1421600000344853
06-05,0.16790403796207864
06-06,0.16784630591464186
06-08,0.18013869802793134
06-09,0.18789924162163849
06-10,0.29721797659143645
06-11,0.21158880536106195
06-12,0.1224312532300768
06-13,0.1057123406244648
06-15,0.07578299526402535
06-16,0.20003993431147407
06-17,0.1714503813975228
06-18,0.19651672607506848
06-19,0.08317967338701197
06-20,0.10939002943830063
06-22,0.13380712039664214
06-23,0.14698484634713113
06-24,0.0961767297095736
06-25,0.1526904940265214
06-26,0.061895985591937874
